IndigenousStatus,State,Deaths
Aboriginal and Torres Strait Islanders,New South Wales,236
Aboriginal and Torres Strait Islanders,Victoria,57
Aboriginal and Torres Strait Islanders,Queensland,310
Aboriginal and Torres Strait Islanders,South Australia,42
Aboriginal and Torres Strait Islanders,Western Australia,179
Aboriginal and Torres Strait Islanders,Tasmania,9
Aboriginal and Torres Strait Islanders,Northern Territory,123
Aboriginal and Torres Strait Islanders,Australian Capital Territory,10
Non-Indigenous,New South Wales,4161
Non-Indigenous,Victoria,3365
Non-Indigenous,Queensland,3514
Non-Indigenous,South Australia,1090
Non-Indigenous,Western Australia,1718
Non-Indigenous,Tasmania,423
Non-Indigenous,Northern Territory,122
Non-Indigenous,Australian Capital Territory,230
